title,description,required_skills,registration_status,start_date,end_date,location,mode,prize,organizer,tags,url,source
ZerveHack,,['Machine Learning/Ai'],open,,2026-04-29,Online,online,"$<span data-currency-value>10,000</span>",Zerve AI,['Machine Learning/Ai'],https://zervehack.devpost.com/,devpost
Agents Assemble - The Healthcare AI Endgame,,"['Beginner Friendly', 'Health', 'Machine Learning/Ai']",open,,2026-05-11,Online,online,"$<span data-currency-value>25,000</span>",Prompt Opinion (Darena Health),"['Beginner Friendly', 'Health', 'Machine Learning/Ai']",https://agents-assemble.devpost.com/,devpost
FIND EVIL!,,"['Beginner Friendly', 'Cybersecurity', 'Machine Learning/Ai']",open,,2026-06-15,Online,online,"$<span data-currency-value>22,000</span>",sans,"['Beginner Friendly', 'Cybersecurity', 'Machine Learning/Ai']",https://findevil.devpost.com/,devpost
Build with MeDo Hackathon ,,"['Beginner Friendly', 'Low/No Code', 'Machine Learning/Ai']",open,,2026-05-20,Online,online,"$<span data-currency-value>50,000</span>",Baidu,"['Beginner Friendly', 'Low/No Code', 'Machine Learning/Ai']",https://medo.devpost.com/,devpost
Learning Hackathon: Spec Driven Development,,"['Beginner Friendly', 'Machine Learning/Ai', 'Open Ended', 'Programming']",open,,2026-04-29,Online,online,$<span data-currency-value>0</span>,"Devpost, Inc.","['Beginner Friendly', 'Machine Learning/Ai', 'Open Ended', 'Programming']",https://learn-ai.devpost.com/,devpost
GNEC Hackathon 2026 Spring - Compete For UN-Affiliated/NGO Internships & Prizes,,"['Beginner Friendly', 'Health', 'Social Good']",open,,2026-05-03,Online,online,$<span data-currency-value>700</span>,Global NGO Executive Committee,"['Beginner Friendly', 'Health', 'Social Good']",https://gnec-hackathon-2026-spring.devpost.com/,devpost
HackAmerica,,"['Beginner Friendly', 'Design', 'Social Good']",open,,2026-05-23,Online,online,$<span data-currency-value>575</span>,HackAmerica,"['Beginner Friendly', 'Design', 'Social Good']",https://hackamerica.devpost.com/,devpost
DSH Hacks V1,,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",open,,2026-06-02,Online,online,"$<span data-currency-value>5,096</span>",DreamWeave,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",https://dsh-hacks-v1.devpost.com/,devpost
EnviroCast Global Engineering Outlook: From Insight to Impact Hackathon,,"['Open Ended', 'Productivity', 'Social Good']",open,,2026-05-21,Online,online,$<span data-currency-value>625</span>,EnviroCast,"['Open Ended', 'Productivity', 'Social Good']",https://from-insight-to-impact.devpost.com/,devpost
LUMA Hackathon!,,"['Beginner Friendly', 'Machine Learning/Ai', 'Open Ended']",open,,,Online,online,$<span data-currency-value>300</span>,joinluma,"['Beginner Friendly', 'Machine Learning/Ai', 'Open Ended']",https://luma.devpost.com/,devpost
EcoHack,,"['Beginner Friendly', 'Open Ended', 'Social Good']",open,,2026-04-23,Online,online,$<span data-currency-value>0</span>,EcoHack,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://ecohack-28337.devpost.com/,devpost
GenLink Hacks,,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",open,,,Online,online,"$<span data-currency-value>42,402</span>",GenLink,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",https://genlink-hacks.devpost.com/,devpost
EcoHacks,,"['Beginner Friendly', 'Open Ended', 'Social Good']",open,,2026-04-19,Online,online,$<span data-currency-value>200</span>,Green Spaces Initiative,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://ecohackers.devpost.com/,devpost
UCI Design-a-thon 2026,,"['Beginner Friendly', 'Design', 'Low/No Code']",open,,2026-04-26,Online,online,"$<span data-currency-value>5,048</span>",UC Irvine,"['Beginner Friendly', 'Design', 'Low/No Code']",https://ucidesignathon26.devpost.com/,devpost
PhysTech 2026: Physical Activity and Technology Hack Day,,"['Education', 'Health', 'Iot']",open,,2026-06-27,Online,online,$<span data-currency-value>0</span>,Binnovative,"['Education', 'Health', 'Iot']",https://phystech-2026.devpost.com/,devpost
Aurora Global Hackathon,,"['Beginner Friendly', 'Low/No Code', 'Social Good']",open,,,Online,online,$<span data-currency-value>0</span>,Project GRID ,"['Beginner Friendly', 'Low/No Code', 'Social Good']",https://aurora-global-hackathon-grid.devpost.com/,devpost
Nira hackathon,,"['Design', 'Education', 'Machine Learning/Ai']",open,,2026-05-02,Online,online,$<span data-currency-value>500</span>,nira ai tech,"['Design', 'Education', 'Machine Learning/Ai']",https://nira-hackathon.devpost.com/,devpost
DesignXR Hackathon,,"['Ar/Vr', 'Education', 'Productivity']",open,,2026-05-10,Online,online,$<span data-currency-value>0</span>,iTSikhwal,"['Ar/Vr', 'Education', 'Productivity']",https://designxr.devpost.com/,devpost
hatrek,,"['Machine Learning/Ai', 'Open Ended', 'Web']",open,,2026-04-17,Online,online,$<span data-currency-value>0</span>,automata,"['Machine Learning/Ai', 'Open Ended', 'Web']",https://hatrek.devpost.com/,devpost
BluePrint 2026 - Hackthon for freshers and Students,,"['Low/No Code', 'Productivity', 'Web']",open,,2026-05-14,Online,online,"₹ <span data-currency-value>18,000</span>",BluePms Software Solutions PVT,"['Low/No Code', 'Productivity', 'Web']",https://blueprint-2026.devpost.com/,devpost
HackNSU Season 6,,"['Devops', 'Machine Learning/Ai', 'Web']",open,,,Online,online,$<span data-currency-value>406</span>,no host,"['Devops', 'Machine Learning/Ai', 'Web']",https://hacknsu-s6.devpost.com/,devpost
2025-2026 Spring ESE Senior Design,,"['Ar/Vr', 'Open Ended', 'Robotic Process Automation']",open,,2026-04-30,Online,online,$<span data-currency-value>0</span>,university of pennsylvania,"['Ar/Vr', 'Open Ended', 'Robotic Process Automation']",https://ese4510s26.devpost.com/,devpost
AI for Everyone,,"['Education', 'Health', 'Open Ended']",open,,2026-04-30,Online,online,$<span data-currency-value>0</span>,Tech Z,"['Education', 'Health', 'Open Ended']",https://ai-for-everyone.devpost.com/,devpost
RAISE-26,,['Machine Learning/Ai'],open,2025-12-09,2026-04-17,Online,online,$<span data-currency-value>0</span>,"MPI Program, Bloustein School, Rutgers",['Machine Learning/Ai'],https://raise26.devpost.com/,devpost
NACOS X GDG AI Hackathon,,"['Beginner Friendly', 'Machine Learning/Ai', 'Web']",open,,,Online,online,$<span data-currency-value>0</span>,Google Developer Group LMU,"['Beginner Friendly', 'Machine Learning/Ai', 'Web']",https://nacos-x-gdg-ai-hackathon.devpost.com/,devpost
Build for Impact — CBC Hackathon @ UR-CST,,"['Education', 'Machine Learning/Ai', 'Social Good']",open,,,Online,online,"$<span data-currency-value>1,500</span>",Claude Builder Club @ UR-CST,"['Education', 'Machine Learning/Ai', 'Social Good']",https://cbc-ur.devpost.com/,devpost
Code Innovation,,"['Blockchain', 'Machine Learning/Ai', 'Open Ended']",open,,2026-04-23,Online,online,$<span data-currency-value>0</span>,Arya Main,"['Blockchain', 'Machine Learning/Ai', 'Open Ended']",https://code-innovation.devpost.com/,devpost
ML Empowerment Build Challenge,,"['Beginner Friendly', 'Education', 'Machine Learning/Ai']",open,,2026-05-13,Online,online,$<span data-currency-value>0</span>,ML Empowerment Foundation,"['Beginner Friendly', 'Education', 'Machine Learning/Ai']",https://ml-empowerment-build-challenge.devpost.com/,devpost
Hoobit Hacks 2026,,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",open,,2026-07-01,Online,online,$<span data-currency-value>0</span>,Hoobit,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",https://hoobit-hacks-2026.devpost.com/,devpost
AI Autonomous Smart City Hackathon 2026,,"['Iot', 'Machine Learning/Ai', 'Social Good']",open,,,Online,online,$<span data-currency-value>0</span>,Innovation Hacks,"['Iot', 'Machine Learning/Ai', 'Social Good']",https://ai-smart-city-2026.devpost.com/,devpost
Rebuilding the OS: Core System Utilities Hackathon,,"['Beginner Friendly', 'Design', 'Low/No Code']",open,,2026-04-30,Online,online,₹ <span data-currency-value>0</span>,Saket Creations,"['Beginner Friendly', 'Design', 'Low/No Code']",https://bitbuilders-code-race-apr-2026.devpost.com/,devpost
GUNGAHACKS,,"['Beginner Friendly', 'Lifehacks']",open,,,Online,online,$<span data-currency-value>0</span>,Phillips Academy Andover,"['Beginner Friendly', 'Lifehacks']",https://gungahacks.devpost.com/,devpost
"ESE 1900, Silicon Garage, Spring 2026",,['Education'],open,,2026-05-01,Online,online,$<span data-currency-value>0</span>,UPenn ESE,['Education'],https://ese-1900-silicon-garage-s26.devpost.com/,devpost
"LUMA Hackathon: Pitch your idea, win up to $500",,"['Beginner Friendly', 'Machine Learning/Ai', 'Open Ended']",open,,2026-05-16,Online,online,$<span data-currency-value>250</span>,LUMA,"['Beginner Friendly', 'Machine Learning/Ai', 'Open Ended']",https://luma-hackathon-500.devpost.com/,devpost
Code With Gemini,,"['Beginner Friendly', 'Education', 'Programming', 'Web']",open,,2026-06-03,Online,online,$<span data-currency-value>0</span>,MLH,"['Beginner Friendly', 'Education', 'Programming', 'Web']",https://code-with-gemini.devpost.com/,devpost
Agentic AI Hackathon Powered by Microsoft,,"['Ar/Vr', 'Machine Learning/Ai']",open,,,Online,online,"₹ <span data-currency-value>50,000</span>",shekunj,"['Ar/Vr', 'Machine Learning/Ai']",https://ai-agentic-hackathon.devpost.com/,devpost
Synapse Sprint,,"['Blockchain', 'Machine Learning/Ai', 'Open Ended']",open,,2026-04-23,Online,online,$<span data-currency-value>0</span>,Shankara,"['Blockchain', 'Machine Learning/Ai', 'Open Ended']",https://synapse-sprint.devpost.com/,devpost
CU Design-a-thon 2026,,"['Design', 'Low/No Code']",open,,,Online,online,$<span data-currency-value>0</span>,Cornell UX Design,"['Design', 'Low/No Code']",https://cu-design-a-thon-2026.devpost.com/,devpost
Girls in STEM: AI for Social Good Hackathon,,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",open,,2026-05-14,Online,online,$<span data-currency-value>0</span>,VidOpt LLC,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",https://girls-in-stem-ai-vidopt.devpost.com/,devpost
Katz School CS & A.I Club Ideathon ,,['Open Ended'],open,,2026-04-27,Online,online,$<span data-currency-value>0</span>,Katz School of Science and Technology,['Open Ended'],https://katzschool-cs-ai-deathon.devpost.com/,devpost
VEX IQ Mix & Match 2026 ULTIMATE HACKATHON ,,"['Beginner Friendly', 'Design', 'Robotic Process Automation']",open,,2026-04-18,Online,online,$<span data-currency-value>0</span>,VEX Talk,"['Beginner Friendly', 'Design', 'Robotic Process Automation']",https://vex-iq-hackathon.devpost.com/,devpost
PiHacks Enhanced,,"['Beginner Friendly', 'Gaming', 'Machine Learning/Ai']",open,,2026-05-01,Online,online,$<span data-currency-value>201</span>,PiHi CompSci,"['Beginner Friendly', 'Gaming', 'Machine Learning/Ai']",https://pihacks-enhanced.devpost.com/,devpost
OAHL Hardware Hack: Build the Agent-to-Hardware Interface Layer,,"['Communication', 'Iot', 'Machine Learning/Ai']",open,,,Online,online,$<span data-currency-value>0</span>,BuzzChat,"['Communication', 'Iot', 'Machine Learning/Ai']",https://oahl-hardware-hack.devpost.com/,devpost
FusionHack 2026,,"['Design', 'Machine Learning/Ai', 'Web']",open,,,Online,online,$<span data-currency-value>0</span>,DSML X DeCo Club at IUI,"['Design', 'Machine Learning/Ai', 'Web']",https://fusionhack-2026.devpost.com/,devpost
VikingsHacks 25-26,,"['Beginner Friendly', 'Education', 'Social Good']",open,,,Online,online,$<span data-currency-value>0</span>,Fremd Coding Club,"['Beginner Friendly', 'Education', 'Social Good']",https://vikingshacks-25-26.devpost.com/,devpost
1st International Prosolve 2026,,"['Beginner Friendly', 'Education', 'Machine Learning/Ai']",open,,2026-05-22,Online,online,"$<span data-currency-value>1,979</span>",Artificial Intelligence Society,"['Beginner Friendly', 'Education', 'Machine Learning/Ai']",https://international-prosolve-2026.devpost.com/,devpost
DEMOKHE,,"['Education', 'Iot', 'Machine Learning/Ai']",open,2026-03-24,2030-03-24,Online,online,$<span data-currency-value>0</span>,HacKSU,"['Education', 'Iot', 'Machine Learning/Ai']",https://demokhe.devpost.com/,devpost
"Your idea vs 1,000 other marketers. Let’s see where you actually stand. ",,"['Beginner Friendly', 'Low/No Code', 'Open Ended']",open,,2026-06-14,Online,online,"₹ <span data-currency-value>10,000</span>",BluePms Software Solutions PVT,"['Beginner Friendly', 'Low/No Code', 'Open Ended']",https://connectsblue.devpost.com/,devpost
GLITCHED GAMES,,"['Gaming', 'Mobile', 'Web']",open,,2026-06-30,Online,online,$<span data-currency-value>0</span>,GB3-Productions,"['Gaming', 'Mobile', 'Web']",https://glitch-to-win-games.devpost.com/,devpost
MCA 2026 projects,,['Beginner Friendly'],open,,2026-12-25,Online,online,$<span data-currency-value>0</span>,Mizzou Computing Association,['Beginner Friendly'],https://mca-2026-projects.devpost.com/,devpost
day zero,,['Open Ended'],open,,,Online,online,$<span data-currency-value>0</span>,soulcloude,['Open Ended'],https://day-zero.devpost.com/,devpost
ACM Education MP S26,,"['Beginner Friendly', 'Social Good']",open,,,Online,online,$<span data-currency-value>0</span>,ACM,"['Beginner Friendly', 'Social Good']",https://acm-education-mp-s26.devpost.com/,devpost
Titanic - Machine Learning from Disaster,Start here! Predict survival on the Titanic and get familiar with ML basics,"['Beginner', 'Binary Classification', 'Categorization Accuracy', 'Tabular']",open,2012-09-28,2030-01-01,Online,online,{'id': 'KNOWLEDGE'},Kaggle,"['Beginner', 'Binary Classification', 'Categorization Accuracy', 'Tabular']",https://www.kaggle.com/c/titanic,kaggle
Housing Prices Competition for Kaggle Learn Users,Apply what you learned in the Machine Learning course on Kaggle Learn alongside others in the course.,['Mean Absolute Error'],open,2018-07-18,2030-01-01,Online,online,{'id': 'KNOWLEDGE'},Kaggle,['Mean Absolute Error'],https://www.kaggle.com/c/home-data-for-ml-course,kaggle
House Prices - Advanced Regression Techniques,"Predict sales prices and practice feature engineering, RFs, and gradient boosting","['Regression', 'Root Mean Squared Logarithmic Error', 'Tabular']",open,2016-08-30,2030-01-01,Online,online,{'id': 'KNOWLEDGE'},Kaggle,"['Regression', 'Root Mean Squared Logarithmic Error', 'Tabular']",https://www.kaggle.com/c/house-prices-advanced-regression-techniques,kaggle
Spaceship Titanic,Predict which passengers are transported to an alternate dimension,"['Beginner', 'Binary Classification', 'Categorization Accuracy', 'Tabular']",open,2022-02-23,2030-01-01,Online,online,{'id': 'KNOWLEDGE'},Kaggle,"['Beginner', 'Binary Classification', 'Categorization Accuracy', 'Tabular']",https://www.kaggle.com/c/spaceship-titanic,kaggle
Digit Recognizer,Learn computer vision fundamentals with the famous MNIST data,"['Categorization Accuracy', 'Computer Vision', 'Image', 'Multiclass Classification', 'Tabular']",open,2012-07-25,2030-01-01,Online,online,{'id': 'KNOWLEDGE'},Kaggle,"['Categorization Accuracy', 'Computer Vision', 'Image', 'Multiclass Classification', 'Tabular']",https://www.kaggle.com/c/digit-recognizer,kaggle
Store Sales - Time Series Forecasting,Use machine learning to predict grocery sales,"['Beginner', 'Root Mean Squared Logarithmic Error', 'Tabular', 'Time Series Analysis']",open,2021-10-06,2030-06-30,Online,online,{'id': 'KNOWLEDGE'},Kaggle,"['Beginner', 'Root Mean Squared Logarithmic Error', 'Tabular', 'Time Series Analysis']",https://www.kaggle.com/c/store-sales-time-series-forecasting,kaggle
Natural Language Processing with Disaster Tweets,Predict which Tweets are about real disasters and which ones are not,"['Binary Classification', 'Custom Metric', 'NLP', 'Text']",open,2019-12-23,2030-01-01,Online,online,{'id': 'KNOWLEDGE'},Kaggle,"['Binary Classification', 'Custom Metric', 'NLP', 'Text']",https://www.kaggle.com/c/nlp-getting-started,kaggle
Connect X,Connect your checkers in a row before your opponent!,"['Custom Metric', 'Simulations']",open,2020-01-03,2030-01-01,Online,online,{'id': 'KNOWLEDGE'},Kaggle,"['Custom Metric', 'Simulations']",https://www.kaggle.com/c/connectx,kaggle
LLM Classification Finetuning,Finetune LLMs to Predict Human Preference using Chatbot Arena conversations,"['Languages', 'Log Loss', 'Text Conversation']",open,2024-10-16,2030-07-01,Online,online,{'id': 'KNOWLEDGE'},Kaggle,"['Languages', 'Log Loss', 'Text Conversation']",https://www.kaggle.com/c/llm-classification-finetuning,kaggle
Petals to the Metal - Flower Classification on TPU,Getting Started with TPUs on Kaggle!,"['F-Score (Macro)', 'Image', 'Multiclass Classification']",open,2020-06-18,2030-06-03,Online,online,{'id': 'KNOWLEDGE'},Kaggle,"['F-Score (Macro)', 'Image', 'Multiclass Classification']",https://www.kaggle.com/c/tpu-getting-started,kaggle
"Contradictory, My Dear Watson",Detecting contradiction and entailment in multilingual text using TPUs,"['Categorization Accuracy', 'Multiclass Classification', 'NLP', 'Text']",open,2020-07-30,2030-07-01,Online,online,{'id': 'KNOWLEDGE'},Kaggle,"['Categorization Accuracy', 'Multiclass Classification', 'NLP', 'Text']",https://www.kaggle.com/c/contradictory-my-dear-watson,kaggle
I’m Something of a Painter Myself,Use GANs to create art - will you be the next Monet?,"['Custom Metric', 'Gan', 'Image']",open,2020-08-28,2030-07-01,Online,online,{'id': 'KNOWLEDGE'},Kaggle,"['Custom Metric', 'Gan', 'Image']",https://www.kaggle.com/c/gan-getting-started,kaggle
